direction,gene_token,n,weighted_sum
higher_in_a,MNX1,2,0.693435580712062
higher_in_a,PAX6,3,0.6340037615519309
higher_in_a,SIM2,2,0.5761064674404108
higher_in_a,JPH4,2,0.490793720229189
higher_in_a,HOXD3,2,0.4763123872998708
higher_in_a,BRUNOL5,1,0.3049855896653295
higher_in_a,AMH,1,0.2238143923297459
lower_in_a,NR3C1,6,2.582450870479369
lower_in_a,HTR4,7,2.408928002781622
lower_in_a,PRKAR1B,6,2.2987792463167436
lower_in_a,TP63,6,2.1301884903672863
lower_in_a,TP73,5,1.9614068448929498
lower_in_a,APOD,4,1.6785983433638418
lower_in_a,PHACTR2,4,1.597144937003592
lower_in_a,STMN1,4,1.339378836979442
lower_in_a,SLC25A13,3,1.26622816149843
lower_in_a,C6orf191,3,1.1574867880927302
lower_in_a,SYNPO2,3,1.096872572158224
lower_in_a,CACNA1D,3,1.0572810544942872
lower_in_a,FOXP1,2,0.95481891074311
lower_in_a,BOLL,2,0.8963614578254652
lower_in_a,SSH1,3,0.8958968668958651
lower_in_a,RASSF8,3,0.8935816210708816
lower_in_a,C7orf58,2,0.8374092325368698
lower_in_a,CPVL,2,0.8188164769578918
lower_in_a,CRMP1,2,0.8002749360012588
lower_in_a,SYT16,2,0.794473945440396
lower_in_a,IGFL2,2,0.780295518968581
lower_in_a,PKIA,2,0.77905681219643
lower_in_a,CDC42BPG,2,0.7758333093724703
lower_in_a,COL23A1,2,0.7690323582733161
lower_in_a,SASH1,2,0.764854109737706
lower_in_a,FHIT,2,0.7647744352066098
lower_in_a,TTC24,2,0.748054507194073
lower_in_a,SDK1,2,0.685366723696603
lower_in_a,POLR3B,2,0.6848482156181448
lower_in_a,LIPE,2,0.675071480335482
lower_in_a,IQCE,2,0.67169147395857
lower_in_a,MCF2L,2,0.66045523129338
lower_in_a,SPINK5,3,0.6292245948555015
lower_in_a,IL12RB2,1,0.5362951148108085
lower_in_a,UBE2E2,1,0.5191634911813674
lower_in_a,TAAR6,1,0.5178108702434685
lower_in_a,IGF1R,1,0.5176361673456911
lower_in_a,ASB5,1,0.513727770440326
lower_in_a,CARD11,1,0.495331776940593
lower_in_a,BRI3BP,1,0.492659412428479
lower_in_a,JAKMIP3,2,0.4807873411292739
lower_in_a,GNAT3,1,0.4547371467024409
lower_in_a,CRISPLD2,1,0.4533461116538325
lower_in_a,CREB3L2,1,0.445306185914594
lower_in_a,C6orf134,1,0.443610453061142
lower_in_a,CLN8,1,0.4378522889282639
lower_in_a,WWTR1,1,0.4363956600195664
lower_in_a,LOC728606,1,0.433985591922209
lower_in_a,DPYSL3,1,0.430749100128227
lower_in_a,NEK7,1,0.4264855141773805
lower_in_a,RBKS,1,0.421388396206532
lower_in_a,ZW10,1,0.4192344325187035
lower_in_a,RNF220,1,0.4177342365206319
lower_in_a,PEBP4,1,0.415982283242598
lower_in_a,TSGA13,1,0.4081277069606565
lower_in_a,C9orf130,1,0.4037587391615034
lower_in_a,RIMKLA,1,0.4024063194517935
lower_in_a,KIAA1244,1,0.401882319145143
lower_in_a,ODZ2,1,0.393196686751557
lower_in_a,LOC402644,1,0.3897922849367761
lower_in_a,C10orf47,1,0.389767359810502
lower_in_a,PPP4R4,1,0.3891205427836545
lower_in_a,TOM1L1,1,0.382449258156418
lower_in_a,CCDC64B,1,0.3806908775198189
lower_in_a,ARHGEF10,1,0.3765707935545305
lower_in_a,KIAA0513,1,0.3743826443950045
lower_in_a,SH3PXD2B,1,0.3733302179959799
lower_in_a,MYADML2,1,0.372191869713355
lower_in_a,MUC13,1,0.3633363747160155
lower_in_a,THSD4,1,0.361508319573683
lower_in_a,PLEKHA6,1,0.360690315460102
lower_in_a,ZPLD1,1,0.357860055517302
lower_in_a,ALCAM,1,0.35346227599975
lower_in_a,RNF144A,1,0.352786778308416
lower_in_a,P2RX7,1,0.350227997437144
lower_in_a,DTL,1,0.3468493892580079
lower_in_a,FAM163A,1,0.34492835902096
lower_in_a,ZRANB3,1,0.3423456987458645
lower_in_a,NTM,1,0.341066549092249
lower_in_a,ZACN,1,0.3402997880592829
lower_in_a,TRIO,1,0.339041362431285
lower_in_a,LOC146336,1,0.330640457501512
lower_in_a,MECOM,1,0.329013103979861
lower_in_a,CAMK4,1,0.3285888887544864
lower_in_a,TIGD6,1,0.316333603304589
lower_in_a,C4orf52,1,0.315049783869962
lower_in_a,COL4A1,1,0.3136888286009905
lower_in_a,CIT,1,0.3124185131909864
lower_in_a,NOTCH4,1,0.311565098313089
lower_in_a,TRPV6,1,0.309571467588427
lower_in_a,MIR96,1,0.3016270868209466
lower_in_a,OR51B6,1,0.3015924736876545
lower_in_a,ZC3H7A,1,0.284879418962414
lower_in_a,KCNIP3,1,0.281397522623303
lower_in_a,COL14A1,1,0.269550566597846
lower_in_a,DIP2C,1,0.265596249273355
lower_in_a,OR51B4,1,0.2643502495568345
lower_in_a,TAF8,1,0.2519429863874129
lower_in_a,PROX1,1,0.2338772440524105
