perm_id,gene,perm_logfc
0,SLCO4A1,0.6060966023806413
0,MARCKSL1,0.47875087166910957
0,LGALS3BP,0.19318894640635298
0,ABR,0.2605391370959729
0,GALNT10,1.7203162828890508
0,COL6A1,0.6743728310352219
0,GSN,1.5005355547570582
0,FN1,0.9328312860275974
0,ABCC3,1.0863743974248505
0,DDX17,0.37977512442519146
0,TMEM131,0.28697522045303003
0,MAGI1,1.3675915618725458
0,ESYT2,-0.05281967242341068
0,GALNT5,0.8143868799419525
0,NET1,-0.24216132883137576
0,ARL4C,0.8161041819147452
1,SLCO4A1,-0.17526848719072596
1,MARCKSL1,-1.0540537907859968
1,LGALS3BP,0.20928617552989426
1,ABR,-0.5677815314356969
1,GALNT10,-0.13120302927163596
1,COL6A1,-0.0010114637462326215
1,GSN,-0.14301674464018976
1,FN1,0.5087034261139021
1,ABCC3,0.12795128982984605
1,DDX17,0.24378562813036675
1,TMEM131,-0.2576668315577457
1,MAGI1,-0.47589599417321926
1,ESYT2,-0.1516135080916512
1,GALNT5,-1.159997151218259
1,NET1,-0.21323603277879633
1,ARL4C,0.11219909690396479
2,SLCO4A1,-0.5646967936328302
2,MARCKSL1,-0.4523178381971227
2,LGALS3BP,-1.8455585961699765
2,ABR,0.11777991877368033
2,GALNT10,-1.0445020578979753
2,COL6A1,-1.124042080612628
2,GSN,-0.7900624742927054
2,FN1,-0.3252656709319002
2,ABCC3,0.20015471751694514
2,DDX17,-1.108801462629891
2,TMEM131,-0.1998628895436747
2,MAGI1,-0.30452864284123704
2,ESYT2,-0.7055599538919379
2,GALNT5,-0.6378939844241223
2,NET1,-0.06282826098285765
2,ARL4C,-0.2788550051123626
3,SLCO4A1,0.4679723138756149
3,MARCKSL1,0.19316273246888915
3,LGALS3BP,-0.05180200110250377
3,ABR,0.5075456201749304
3,GALNT10,0.22867149636372464
3,COL6A1,0.3109680853949488
3,GSN,-0.4024420805549731
3,FN1,0.13862992814233355
3,ABCC3,-0.025593732330239538
3,DDX17,-0.2988661849867009
3,TMEM131,0.5325973988689587
3,MAGI1,-0.1424712166176314
3,ESYT2,0.2736088720014749
3,GALNT5,0.31334376255429985
3,NET1,0.12237901114844307
3,ARL4C,0.02373038625713475
4,SLCO4A1,1.6760084695262627
4,MARCKSL1,-0.14510819728643032
4,LGALS3BP,0.7022852059469291
4,ABR,1.027021915244653
4,GALNT10,-0.33399698617290685
4,COL6A1,0.9492086071452688
4,GSN,0.7699205631155959
4,FN1,0.42325656844145687
4,ABCC3,0.2718320477438463
4,DDX17,-0.004262692796810796
4,TMEM131,0.48567043033896207
4,MAGI1,0.8406873841527589
4,ESYT2,0.46939620972629204
4,GALNT5,0.2543587415988058
4,NET1,0.8750636215952743
4,ARL4C,0.17370160508507126
5,SLCO4A1,-0.19179633784153793
5,MARCKSL1,0.6506430914136887
5,LGALS3BP,0.5354302759539524
5,ABR,0.7049899222171851
5,GALNT10,0.9594207251317028
5,COL6A1,-0.19615665838885743
5,GSN,0.21737759419893887
5,FN1,0.3184352874290841
5,ABCC3,0.07952561888419352
5,DDX17,0.11958063568971333
5,TMEM131,0.18448015723419875
5,MAGI1,0.11005111792763866
5,ESYT2,0.5691705622693073
5,GALNT5,-0.1874572032225208
5,NET1,0.5922663033545912
5,ARL4C,0.8499610688214223
6,SLCO4A1,-0.40866813272569935
6,MARCKSL1,0.6488724297061124
6,LGALS3BP,-0.45108989102507957
6,ABR,0.6334884497934365
6,GALNT10,0.6118031392890471
6,COL6A1,-0.038898859309500544
6,GSN,0.0606111366210893
6,FN1,0.2980825776416074
6,ABCC3,-0.5105061948660954
6,DDX17,-0.2311974427665655
6,TMEM131,-0.685519156083386
6,MAGI1,-0.7544291875149773
6,ESYT2,0.04322354804907169
6,GALNT5,-0.022176791577000365
6,NET1,-3.7929229225408534e-05
