contrast_a,contrast_b,ID_REF,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mean_a,mean_b,delta_mean_a_minus_b,std_a,std_b,u_statistic,p_value,rank_biserial,q_value_bh,abs_delta_median,abs_rank_biserial
D2,not_D2,cg11866463,91,272,0.381813139834063,0.8163182949525936,-0.43450515511853055,0.48042085962145886,0.5457999015522298,-0.06537904193077093,0.3483166054807602,0.3465277845552713,7801.0,0.018246250114921453,-0.3696670976082741,0.029353684226064113,0.43450515511853055,0.3696670976082741
D2,not_D2,cg20381372,91,272,0.767066143759548,0.756094301575161,0.01097184218438696,0.5673175932736354,0.5188912507487619,0.048426342524873545,0.3312108593667383,0.3414228148669094,11238.0,0.6498472252501811,-0.09195216548157725,0.6962151545427268,0.01097184218438696,0.09195216548157725
D2,not_D2,cg00103771,91,272,0.6943851482098025,0.764586742272931,-0.07020159406312854,0.5432598763660923,0.5648334640210448,-0.021573587654952542,0.3331733744808642,0.3406683652005846,7828.0,0.23353629302525225,-0.36748545572074987,0.28810300151153745,0.07020159406312854,0.36748545572074987
D2,not_D2,cg11128983,91,272,0.793438306038287,0.732228220818428,0.061210085219859045,0.5765642990335723,0.5262660491884104,0.05029824984516196,0.3245554617882039,0.33996246468485714,13409.0,0.2334241784202502,0.08346800258564957,0.28810300151153745,0.061210085219859045,0.08346800258564957
D2,not_D2,cg09102257,91,272,0.7940690079272235,0.483295066934071,0.3107739409931525,0.5688791270895557,0.5167769569743281,0.05210217011522755,0.37230575289776086,0.3232144614871943,12457.0,0.4602902836981484,0.006544925662572698,0.5184616847242041,0.3107739409931525,0.006544925662572698
D2,not_D2,cg13830619,91,272,0.572675781842694,0.819588436050388,-0.24691265420769404,0.5272542502818856,0.6009595937487208,-0.07370534346683522,0.33790958968902307,0.33412358431513256,9112.0,0.014680685988674457,-0.2637362637362637,0.024193615670195217,0.24691265420769404,0.2637362637362637
D2,not_D2,cg18391209,91,272,0.2042323888703235,0.2434216212536335,-0.03918923238331001,0.39314043852334707,0.45588813094359226,-0.0627476924202452,0.3071559406625614,0.33583292875542636,11039.0,0.16299689311233267,-0.10803167420814475,0.210971904106048,0.03918923238331001,0.10803167420814475
D2,not_D2,cg10576280,91,272,0.809555288830087,0.8615415144049815,-0.05198622557489452,0.6465605236798093,0.688174405241064,-0.04161388156125467,0.33397066209959564,0.32386932192764845,1847.5,0.23869207779104862,-0.8507191338073691,0.2936664342901681,0.05198622557489452,0.8507191338073691
D2,not_D2,cg18691800,91,272,0.4451049005129625,0.662886749394472,-0.21778184888150953,0.4918183105908095,0.5709004264016232,-0.0790821158108137,0.3502756413073,0.3035109921615288,10120.0,0.17178160333233394,-0.18228829993535878,0.22057216657978165,0.21778184888150953,0.18228829993535878
D2,not_D2,cg02533724,91,272,0.4764510569763,0.5767198682746906,-0.10026881129839055,0.4359100072798282,0.4844015389022708,-0.048491531622442574,0.30464822323453633,0.3200354830619671,11016.0,0.1166554721857073,-0.10989010989010994,0.1570060190924728,0.10026881129839055,0.10989010989010994
D2,not_D2,cg24760581,91,272,0.141999545862308,0.456101863097388,-0.31410231723508,0.32320728765225004,0.4011553448031618,-0.07794805715091174,0.3023304238180709,0.3173771687571725,8573.5,0.0923707570995728,-0.3072478991596639,0.12723244779555481,0.31410231723508,0.3072478991596639
D2,not_D2,cg01764252,91,272,0.6557166089765035,0.251632112302299,0.40408449667420454,0.525364246179421,0.3668074324679695,0.15855681371145153,0.333256766739156,0.29394121423987274,14995.0,0.0010996556143814938,0.21161926308985124,0.002222424442969874,0.40408449667420454,0.21161926308985124
D2,not_D2,cg10832239,91,272,0.219909405233831,0.209300861364454,0.010608543869377013,0.408764014463744,0.4126499122389252,-0.003885897775181224,0.2950170658065762,0.31456570476281076,11683.0,0.5170428783381165,-0.055995475113122195,0.5743644504977966,0.010608543869377013,0.055995475113122195
D2,not_D2,cg21015022,91,272,0.833045471769307,0.809295934663989,0.02374953710531802,0.6636194648615621,0.6805323777526086,-0.01691291289104646,0.31087978932172855,0.30686738394935864,11429.0,0.9917326175812323,-0.07651906916612794,0.9931229897669059,0.02374953710531802,0.07651906916612794
D2,not_D2,cg17404449,91,272,0.688806674016675,0.762503132732685,-0.07369645871601005,0.49219020241495426,0.5847886635188249,-0.0925984611038706,0.30744598941428575,0.3022084440665598,9855.0,0.006382995219207044,-0.20370071105365228,0.011257487159095315,0.07369645871601005,0.20370071105365228
D2,not_D2,cg24368848,91,272,0.26477009682416697,0.324826173867038,-0.060056077042871026,0.3617440833560853,0.3704672248700957,-0.00872314151401038,0.3347425640183436,0.29334987331436196,11588.0,0.47952416005917076,-0.0636716224951519,0.537563087006755,0.060056077042871026,0.0636716224951519
D2,not_D2,cg11738485,91,272,0.472261274157443,0.520055160991693,-0.04779388683425001,0.4036012142117291,0.4362840620250856,-0.03268284781335645,0.29202949288888125,0.3073676872420734,11660.0,0.43791244770502447,-0.05785391079508728,0.49627430610270223,0.04779388683425001,0.05785391079508728
D2,not_D2,cg13551535,91,272,0.257564624298972,0.745192926851141,-0.48762830255216905,0.3400948045942202,0.6749134221841524,-0.3348186175899322,0.2686630018314439,0.26481514977830667,4534.0,2.0009895664324987e-18,-0.6336457659987071,2.9600437373261814e-17,0.48762830255216905,0.6336457659987071
D2,not_D2,cg05176970,91,272,0.738516329967863,0.782050640746047,-0.04353431077818404,0.6211179371964128,0.5837470442410579,0.037370892955354895,0.260692176625467,0.3143785895739539,11951.0,0.816410837556796,-0.03434065934065933,0.8440972265889123,0.04353431077818404,0.03434065934065933
D2,not_D2,cg18805164,91,272,0.395200349489276,0.53227199591193,-0.13707164642265396,0.4198602363805659,0.504818499204331,-0.08495826282376506,0.3172080218244214,0.2934997741053998,9957.0,0.013163400906212855,-0.19545895281189396,0.021931690946705856,0.13707164642265396,0.19545895281189396
D2,not_D2,cg00944631,91,272,0.530132255241058,0.650407042776325,-0.12027478753526699,0.3995362850195137,0.4977909733920009,-0.09825468837248719,0.30564008171902257,0.29252631089137027,10216.5,0.01630291820409922,-0.1744909502262444,0.02650881008796621,0.12027478753526699,0.1744909502262444
D2,not_D2,cg12500879,91,272,0.4233149912554215,0.456998525866892,-0.0336835346114705,0.4114203915884563,0.3944130387650315,0.017007352823424804,0.32928284763961,0.286982696051917,12146.0,0.7934207689012278,-0.018584356819650982,0.8237586085890818,0.0336835346114705,0.018584356819650982
D2,not_D2,cg16814680,91,272,0.529553968362429,0.544224131751277,-0.014670163388848079,0.5157785822393314,0.5376838856744763,-0.021905303435144963,0.2827869255248449,0.3022180810603697,11263.5,0.23564943347831024,-0.0898917259211377,0.2905519208287891,0.014670163388848079,0.0898917259211377
