gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,chromosome,is_mito,is_ribo,is_hla
ENSG00000210082,99325.90334346503,27896.00634920636,71429.89699425868,1.0000000000000189,0.9999999999999966,2.2093438190040612e-14,3446039.5,5.784087292215687e-287,D2_1,D2_2,2.0178577258070634e-284,71429.89699425868,False,ENSG00000210082,MT-RNR2,Mt_rRNA,chrM,True,False,False
ENSG00000251562,19618.56231003041,9163.483730158729,10455.078579871686,1.0000000000000189,0.9968253968253934,0.0031746031746252,3047208.0,1.5852957493695155e-145,D2_1,D2_2,2.2081932625065396e-144,10455.078579871686,False,ENSG00000251562,MALAT1,lncRNA,chr11,False,False,False
ENSG00000075624,7369.246200607915,1484.887698412697,5884.358502195218,0.998784194528894,0.9638888888888856,0.0348953056400085,3504302.0,0.0,D2_1,D2_2,0.0,5884.358502195218,False,ENSG00000075624,ACTB,protein_coding,chr7,False,False,False
ENSG00000198804,6012.469908814595,1776.69365079365,4235.7762580209455,1.0000000000000189,0.9896825396825364,0.0103174603174823,3390950.5,1.4216892466571526e-264,D2_1,D2_2,2.2497865913595146e-262,4235.7762580209455,False,ENSG00000198804,MT-CO1,protein_coding,chrM,True,False,False
ENSG00000156508,4528.144072948326,1042.797222222223,3485.346850726103,1.0000000000000189,0.9801587301587268,0.0198412698412918,3521237.5,0.0,D2_1,D2_2,0.0,3485.346850726103,False,ENSG00000156508,EEF1A1,protein_coding,chr6,False,False,False
ENSG00000100316,4915.152583586631,1494.9329365079382,3420.219647078692,0.9920972644377084,0.9178571428571396,0.0742401215805688,3299086.5,2.6418819461908634e-229,D2_1,D2_2,1.8517300399100342e-227,3420.219647078692,False,ENSG00000100316,RPL3,protein_coding,chr22,False,True,False
ENSG00000166710,6269.761094224927,2889.6170634920563,3380.1440307328703,0.998784194528894,0.9761904761904728,0.0225937183384212,2959603.5,7.00119328964388e-121,D2_1,D2_2,6.466204392059782e-120,3380.1440307328703,False,ENSG00000166710,B2M,protein_coding,chr15,False,False,False
ENSG00000184009,3773.737386018237,551.5547619047609,3222.182624113476,0.855319148936185,0.7634920634920609,0.0918270854441241,3211872.0,1.0697262608963282e-199,D2_1,D2_2,3.9283009819996745e-198,3222.182624113476,False,ENSG00000184009,ACTG1,protein_coding,chr17,False,False,False
ENSG00000108654,3780.031610942252,763.0087301587292,3017.022880783523,0.9981762917933318,0.9269841269841238,0.0711921648092079,3489141.0,3.7836464485531926e-305,D2_1,D2_2,2.1510730735293156e-302,3017.022880783523,False,ENSG00000108654,DDX5,protein_coding,chr17,False,False,False
ENSG00000109971,2940.5823708206663,543.5448412698412,2397.037529550825,0.957446808510656,0.7567460317460292,0.2007007767646267,3421823.5,3.1558848002942345e-278,D2_1,D2_2,7.339822982502498e-276,2397.037529550825,False,ENSG00000109971,HSPA8,protein_coding,chr11,False,False,False
ENSG00000204628,3041.494832826745,766.424999999999,2275.0698328267463,0.9902735562310216,0.896031746031743,0.0942418101992785,3440697.5,7.746178865437005e-285,D2_1,D2_2,2.426609093560368e-282,2275.0698328267463,False,ENSG00000204628,RACK1,protein_coding,chr5,False,False,False
ENSG00000198712,3448.3568389057727,1314.6623015872983,2133.6945373184744,0.998784194528894,0.9761904761904728,0.0225937183384212,3275658.5,1.1232875663111342e-220,D2_1,D2_2,6.531236417756026e-219,2133.6945373184744,False,ENSG00000198712,MT-CO2,protein_coding,chrM,True,False,False
ENSG00000096384,2519.779939209732,399.09325396825415,2120.686685241478,0.9556231003039688,0.6940476190476167,0.2615754812563522,3527355.0,0.0,D2_1,D2_2,0.0,2120.686685241478,False,ENSG00000096384,HSP90AB1,protein_coding,chr6,False,False,False
ENSG00000132475,2855.521580547116,797.6285714285711,2057.893009118545,0.99513677811552,0.8932539682539652,0.1018828098615549,3432160.0,2.5535540191929362e-281,D2_1,D2_2,6.876676174493257e-279,2057.893009118545,False,ENSG00000132475,H3-3B,protein_coding,chr17,False,False,False
ENSG00000198034,2932.150759878416,887.8456349206336,2044.305124957782,0.98723404255321,0.8972222222222191,0.0900118203309907,3335375.5,5.500826027171581e-243,D2_1,D2_2,5.310545881577595e-241,2044.305124957782,False,ENSG00000198034,RPS4X,protein_coding,chrX,False,True,False
ENSG00000198886,3203.180547112456,1211.5674603174573,1991.613086794999,1.0000000000000189,0.9698412698412664,0.0301587301587521,3297328.5,1.2714778166441291e-228,D2_1,D2_2,8.791524543012335e-227,1991.613086794999,False,ENSG00000198886,MT-ND4,protein_coding,chrM,True,False,False
ENSG00000198727,3322.0936170212844,1338.228571428563,1983.8650455927211,0.9993920972644564,0.9559523809523776,0.0434397163120787,3202438.0,7.015675847307959e-195,D2_1,D2_2,2.2912898777910035e-193,1983.8650455927211,False,ENSG00000198727,MT-CYB,protein_coding,chrM,True,False,False
ENSG00000211459,2709.2680851063856,887.8392857142843,1821.4287993921007,1.0000000000000189,0.9928571428571394,0.0071428571428792,3329469.0,1.1506469482431226e-240,D2_1,D2_2,1.0576305781755649e-238,1821.4287993921007,False,ENSG00000211459,MT-RNR1,Mt_rRNA,chrM,True,False,False
ENSG00000174444,2424.233434650458,614.5642857142855,1809.6691489361729,0.9920972644377084,0.9063492063492032,0.0857480580885052,3452894.0,7.077384352011142e-290,D2_1,D2_2,2.6497036537407556e-287,1809.6691489361729,False,ENSG00000174444,RPL4,protein_coding,chr15,False,True,False
ENSG00000198888,2681.643161094223,898.8329365079344,1782.8102245862888,0.9981762917933318,0.9769841269841236,0.0211921648092081,3290760.0,3.3771163087328835e-226,D2_1,D2_2,2.2059036314489263e-224,1782.8102245862888,False,ENSG00000198888,MT-ND1,protein_coding,chrM,True,False,False
ENSG00000070756,2442.790273556229,740.3130952380927,1702.477178318136,0.9981762917933318,0.9444444444444412,0.0537318473488905,3423535.0,1.0182856706284241e-277,D2_1,D2_2,2.3329380662904934e-275,1702.477178318136,False,ENSG00000070756,PABPC1,protein_coding,chr8,False,False,False
ENSG00000087086,2123.855927051672,495.946825396825,1627.909101654847,0.9896656534954592,0.8603174603174574,0.1293481931780018,3340136.0,6.6827117764124964e-245,D2_1,D2_2,6.793352699863035e-243,1627.909101654847,False,ENSG00000087086,FTL,protein_coding,chr19,False,False,False
ENSG00000198763,2221.3343465045614,630.2690476190467,1591.0652988855147,0.9993920972644564,0.9789682539682506,0.0204238432962058,3304352.0,3.159243052171444e-231,D2_1,D2_2,2.3427237126005637e-229,1591.0652988855147,False,ENSG00000198763,MT-ND2,protein_coding,chrM,True,False,False
ENSG00000074800,1925.446200607904,342.3563492063487,1583.0898514015553,0.94285714285716,0.6551587301587279,0.2876984126984321,3477643.0,5.925407946189819e-304,D2_1,D2_2,2.934032644323023e-301,1583.0898514015553,False,ENSG00000074800,ENO1,protein_coding,chr1,False,False,False
ENSG00000137154,2253.0224924012164,677.4436507936528,1575.5788416075636,0.9896656534954592,0.9170634920634888,0.0726021614319702,3299776.0,1.4557784202155027e-229,D2_1,D2_2,1.0297787442538232e-227,1575.5788416075636,False,ENSG00000137154,RPS6,protein_coding,chr9,False,True,False
ENSG00000089157,2051.505775075992,510.9480158730155,1540.5577592029765,0.9823708206687112,0.87301587301587,0.1093549476528412,3408877.0,6.417681134295126e-272,D2_1,D2_2,1.2469798153345592e-269,1540.5577592029765,False,ENSG00000089157,RPLP0,protein_coding,chr12,False,True,False
ENSG00000111640,1817.009726443768,278.1404761904755,1538.8692502532926,0.98723404255321,0.8003968253968227,0.1868372171563872,3652945.0,0.0,D2_1,D2_2,0.0,1538.8692502532926,False,ENSG00000111640,GAPDH,protein_coding,chr12,False,False,False
