gene_id,median_log1p_treated,median_log1p_untreated,delta_log1p_treated_minus_untreated,u_statistic,p_treatment,spearman_rho_with_R,p_R_correlation,detected_frac_treated,detected_frac_untreated,n_detected_total,q_treatment_bh,q_R_correlation_bh,gene_id_stripped,gene_symbol,gene_biotype,chromosome,bridge_direction,bridge_score
ENSG00000116824,3.2188758248682006,0.0,3.2188758248682006,352421.0,3.9098010990761976e-75,0.3006882955412901,1.0085377024274936e-35,0.5633074935400517,0.11685214626391097,365,9.381417360267986e-72,6.458376702471242e-33,ENSG00000116824,CD2,protein_coding,chr1,treated_up_R_positive,0.9678782853386835
ENSG00000132465,4.804021044733257,0.0,4.804021044733257,375759.0,1.576397015932565e-110,0.15202511097535948,5.744278920159842e-10,0.6201550387596899,0.09697933227344992,362,1.2293138029496127e-106,3.861077338310406e-09,ENSG00000132465,JCHAIN,protein_coding,chr4,treated_up_R_positive,0.7303318324535357
ENSG00000160654,5.278114659230518,0.0,5.278114659230518,331596.5,6.513770721943819e-31,0.13176869531044794,8.15370285843131e-08,0.7441860465116279,0.41812400635930047,814,1.798088939199943e-28,3.959191364617806e-07,ENSG00000160654,CD3G,protein_coding,chr11,treated_up_R_positive,0.6954902823457548
ENSG00000168685,4.912654885736052,0.0,4.912654885736052,328999.5,6.441283078991326e-33,0.13534538634808396,3.57571038739861e-08,0.661498708010336,0.3004769475357711,634,1.9507081852716156e-30,1.8299775900594724e-07,ENSG00000168685,IL7R,protein_coding,chr5,treated_up_R_positive,0.6649051735047483
ENSG00000198851,2.5649493574615367,0.0,2.5649493574615367,344039.5,4.438281375658109e-52,0.207132173767456,2.1239654921217178e-17,0.6072351421188631,0.20588235294117646,494,4.195251846997073e-49,5.364603691963785e-16,ENSG00000198851,CD3E,protein_coding,chr11,treated_up_R_positive,0.5312835360144477
ENSG00000237973,4.955827057601261,1.6094379124341003,3.3463891451671604,391653.0,5.197140080282669e-74,0.14596588916162556,2.7218177276710184e-09,0.9405684754521964,0.809220985691574,1382,1.0807626034950486e-70,1.65146197975573e-08,ENSG00000237973,MTCO1P12,unprocessed_pseudogene,chr1,treated_up_R_positive,0.48845866705513663
ENSG00000066294,4.8283137373023015,0.0,4.8283137373023015,367912.5,5.831790759139879e-63,0.07721997016828863,0.0017230350026312877,0.7803617571059431,0.3394276629570747,729,7.579627047910427e-60,0.004238693283681211,ENSG00000066294,CD84,protein_coding,chr1,treated_up_R_positive,0.3728422427576219
ENSG00000129824,5.075173815233827,0.0,5.075173815233827,327791.5,7.797271886037578e-28,0.06595640715624836,0.007451104926129076,0.7441860465116279,0.4546899841017488,860,1.7249666804338311e-25,0.01599272799564744,ENSG00000129824,RPS4Y1,protein_coding,chrY,treated_up_R_positive,0.33474023054629265
ENSG00000262902,1.3862943611198906,0.0,1.3862943611198906,362393.5,5.908408434682546e-61,0.21731549971221853,4.920201795340532e-19,0.7260981912144703,0.29809220985691576,656,7.372039372122105e-58,1.7148140179000808e-17,ENSG00000262902,MTCO1P40,processed_pseudogene,chr17,treated_up_R_positive,0.30126325183499975
ENSG00000151883,2.5649493574615367,0.0,2.5649493574615367,293828.5,1.623390843598693e-11,0.11044510103019303,7.127830470039212e-06,0.6227390180878553,0.40381558028616854,749,7.370950594523149e-10,2.6206791118804004e-05,ENSG00000151883,PARP8,protein_coding,chr5,treated_up_R_positive,0.2832860909221681
ENSG00000165949,3.912023005428146,0.0,3.912023005428146,380586.0,8.679370038351742e-137,0.06345252143532687,0.0100477001882807,0.6124031007751938,0.05087440381558029,301,2.707355896063059e-132,0.02090288862031745,ENSG00000165949,IFI27,protein_coding,chr14,treated_up_R_positive,0.24822772360742126
ENSG00000197635,1.3862943611198906,0.0,1.3862943611198906,349881.0,1.8246871317874598e-80,0.13762132688411177,2.0925520558440472e-08,0.5193798449612403,0.08982511923688394,314,5.691746570184623e-77,1.1078237657492085e-07,ENSG00000197635,DPP4,protein_coding,chr2,treated_up_R_positive,0.19078366942928135
ENSG00000189067,2.4849066497880004,0.6931471805599453,1.791759469228055,263355.0,0.009916651209696162,0.10270750976336278,2.9989325822682576e-05,0.5736434108527132,0.5135135135135135,868,0.043889060894445574,0.0001002633483801648,ENSG00000189067,LITAF,protein_coding,chr16,treated_up_R_positive,0.18402715317933815
