cpg_island_name,n,fraction
chr21:38076762-38077685,5,0.07042253521126761
chr2:177027617-177028014,5,0.07042253521126761
chr21:38079941-38081833,4,0.056338028169014086
chr5:2866699-2867005,3,0.04225352112676056
chr21:38068193-38073891,2,0.028169014084507043
chr15:76632262-76635515,2,0.028169014084507043
chr2:112811809-112812134,1,0.014084507042253521
chr3:75955759-75956308,1,0.014084507042253521
chr1:204226544-204226908,1,0.014084507042253521
chr14:78447339-78447724,1,0.014084507042253521
chr7:130353070-130353979,1,0.014084507042253521
chr1:212208837-212209364,1,0.014084507042253521
chr1:26231950-26233624,1,0.014084507042253521
chr11:64596975-64597519,1,0.014084507042253521
chr17:744617-744907,1,0.014084507042253521
chr4:5889203-5890645,1,0.014084507042253521
chr1:3634633-3635101,1,0.014084507042253521
chr1:91300979-91301891,1,0.014084507042253521
chr8:110987857-110988072,1,0.014084507042253521
chr20:56754677-56755105,1,0.014084507042253521
chr19:2250560-2253959,1,0.014084507042253521
chr8:79428433-79428754,1,0.014084507042253521
chr12:120127973-120128291,1,0.014084507042253521
chr16:1115827-1116468,1,0.014084507042253521
chr2:1286393-1286642,1,0.014084507042253521
chr14:27066313-27066578,1,0.014084507042253521
chr12:114838312-114838889,1,0.014084507042253521
chr13:113635654-113635899,1,0.014084507042253521
chr4:91048411-91049682,1,0.014084507042253521
chr7:99869003-99870085,1,0.014084507042253521
chr4:13543562-13546494,1,0.014084507042253521
chr4:190986382-191013609,1,0.014084507042253521
chr10:409201-409523,1,0.014084507042253521
chr12:27932789-27933738,1,0.014084507042253521
chr19:42927285-42928598,1,0.014084507042253521
chr11:31827696-31827921,1,0.014084507042253521
chr14:24044886-24046760,1,0.014084507042253521
chr17:74070404-74073530,1,0.014084507042253521
chr1:3499902-3500470,1,0.014084507042253521
chr8:2003809-2004059,1,0.014084507042253521
chr3:75444712-75445611,1,0.014084507042253521
chr1:198128147-198128364,1,0.014084507042253521
chr11:66024910-66026253,1,0.014084507042253521
chr4:74809869-74810089,1,0.014084507042253521
chr11:49914943-49915372,1,0.014084507042253521
chr13:112238672-112238893,1,0.014084507042253521
chr10:44500981-44501270,1,0.014084507042253521
chr11:82400585-82400858,1,0.014084507042253521
chr7:616561-616846,1,0.014084507042253521
chr17:43037166-43037740,1,0.014084507042253521
chr7:158798591-158799434,1,0.014084507042253521
chr7:156795355-156799394,1,0.014084507042253521
chr8:1956926-1957177,1,0.014084507042253521
chr6:56298003-56298214,1,0.014084507042253521
chr20:41817475-41819212,1,0.014084507042253521
chr7:2419808-2420340,1,0.014084507042253521
