cpg_island_name,n,fraction
chr2:177027617-177028014,4,0.06451612903225806
chr7:156795355-156799394,2,0.03225806451612903
chr5:2866699-2867005,2,0.03225806451612903
chr11:64596975-64597519,2,0.03225806451612903
chr10:133948325-133948677,2,0.03225806451612903
chr12:120127973-120128291,1,0.016129032258064516
chr17:17380175-17380416,1,0.016129032258064516
chr12:132910476-132910802,1,0.016129032258064516
chr14:24044886-24046760,1,0.016129032258064516
chr7:2968234-2968596,1,0.016129032258064516
chr8:79428433-79428754,1,0.016129032258064516
chr19:2250560-2253959,1,0.016129032258064516
chr16:3085222-3085469,1,0.016129032258064516
chr21:38076762-38077685,1,0.016129032258064516
chr8:1830748-1831008,1,0.016129032258064516
chr6:56298003-56298214,1,0.016129032258064516
chr4:5889203-5890645,1,0.016129032258064516
chr9:79628910-79629393,1,0.016129032258064516
chr1:204226544-204226908,1,0.016129032258064516
chr7:129418286-129422509,1,0.016129032258064516
chr18:10589149-10589386,1,0.016129032258064516
chr13:112817816-112818939,1,0.016129032258064516
chr6:138482534-138483710,1,0.016129032258064516
chr1:3634633-3635101,1,0.016129032258064516
chr21:38068193-38073891,1,0.016129032258064516
chr2:177029413-177029941,1,0.016129032258064516
chr5:178003623-178004247,1,0.016129032258064516
chr12:58068473-58068774,1,0.016129032258064516
chr1:26231950-26233624,1,0.016129032258064516
chr7:616561-616846,1,0.016129032258064516
chr11:31827696-31827921,1,0.016129032258064516
chr1:45452037-45452444,1,0.016129032258064516
chr14:78447339-78447724,1,0.016129032258064516
chr19:42927285-42928598,1,0.016129032258064516
chr14:27066313-27066578,1,0.016129032258064516
chr13:112238672-112238893,1,0.016129032258064516
chr10:44500981-44501270,1,0.016129032258064516
chr3:75444712-75445611,1,0.016129032258064516
chr10:11865125-11865984,1,0.016129032258064516
chr7:130353070-130353979,1,0.016129032258064516
chr17:43037166-43037740,1,0.016129032258064516
chr19:3285856-3286121,1,0.016129032258064516
chr2:112811809-112812134,1,0.016129032258064516
chr2:223917576-223918037,1,0.016129032258064516
chr16:1115827-1116468,1,0.016129032258064516
chr20:61717767-61718006,1,0.016129032258064516
chr13:113635654-113635899,1,0.016129032258064516
chr1:198128147-198128364,1,0.016129032258064516
chr20:41817475-41819212,1,0.016129032258064516
chr12:27932789-27933738,1,0.016129032258064516
chr17:74070404-74073530,1,0.016129032258064516
chr1:212208837-212209364,1,0.016129032258064516
chr10:409201-409523,1,0.016129032258064516
chr11:82400585-82400858,1,0.016129032258064516
chr21:34350726-34350961,1,0.016129032258064516
